x,y
0,1.22260274
0.233918129,1.219178082
0.708382779,1.218921389
0.974658869,1.22260274
1.325431894,1.216016699
1.820527349,1.230542572
2.238567507,1.241092969
2.483081561,1.290979022
2.615592404,1.344491053
2.738638186,1.399966192
2.767033366,1.447912232
2.996899114,1.547783319
3.032055051,1.489761088
3.307893948,1.589058089
3.760864685,1.603365237
4.163129742,1.625400343
4.483430799,1.674657534
4.754696003,1.667423465
5.275274312,1.661565633
5.795852622,1.659864972
6.316430931,1.655896763
6.848840566,1.646243937
6.978557505,1.616438356
7.212475634,1.667808219
7.485380117,1.393835616
7.719298246,1.72260274
7.992202729,1.678082192
8.44606947,1.697657436
8.966647779,1.694067152
9.487226089,1.685737063
10.0078044,1.664258346
10.54415781,1.651613617
10.99415205,1.623287671
11.62869595,1.627363452
11.77387914,1.643835616
12.14927426,1.61367943
12.66894247,1.598583037
13.17859956,1.587492402
13.69917787,1.589382025
14.03508772,1.602739726
14.2631377,1.595838238
14.78765979,1.595239857
15.00974659,1.606164384
15.31770315,1.573805231
15.8288164,1.572375416
16.36122604,1.555479035
16.86997302,1.537984273
17.40238266,1.536598549
17.77777778,1.544520548
17.97270955,1.503424658
18.24561404,1.523972603
18.51851852,1.547945205
18.75243665,1.537671233
18.95228626,1.526835496
19.25925926,1.51369863
19.53216374,1.5
19.76608187,1.510273973
20,1.489726027
