x,y
0.147239926,1.218040465
0.467836257,1.226027397
0.740740741,1.239726027
1.086985186,1.225401297
1.442495127,1.260273973
1.759680534,1.24840761
2.167579556,1.248368018
2.53411306,1.311643836
2.786752242,1.31626848
3.259216495,1.278814348
3.808189985,1.27619587
4.320880745,1.273865334
4.849346604,1.259075883
5.377812464,1.255227351
5.730994152,1.243150685
6.003898635,1.26369863
6.418969083,1.254962578
6.950589963,1.254108874
7.239274298,1.236589367
7.446393762,1.078767123
7.7582846,0.948630137
8.304093567,0.944680369
8.58212971,0.91905944
9.033691956,0.935102079
9.564129703,0.938528858
10.08217273,0.94341972
10.55204536,0.949680222
11.10304708,0.958133137
11.69574013,0.951573715
12.26271579,0.950857214
12.77087389,0.964667738
13.30108857,0.960555242
13.79698349,0.965126093
14.32168759,0.977352439
14.85188698,0.984239182
15.34767585,0.989805447
15.66317785,0.960657134
16.00628628,0.986475861
16.49137062,0.993448845
17.0316678,0.983307117
17.51280836,1.005623868
18.16747502,1.00277736
18.65143256,1.007708109
19.19680032,1.016496025
19.68425091,1.014758097
20.02893686,1.027345087
