x,y
0.447095708,0.714675368
1.73813789,0.720347134
3.028902859,0.72429741
4.320691382,0.734603955
4.958744759,0.786494947
5.238159649,0.721661417
6.082981872,0.753382196
7.143417445,0.783659677
8.438639137,0.815286201
9.729723966,0.821222812
10.95843837,0.844470413
11.91256796,0.861997843
13.1427632,0.894441434
14.43713193,0.920771069
15.73158596,0.947630393
16.60665111,0.971286177
17.73133234,0.984336941
19.02484811,1.005369687
20.26059068,1.031799055
21.49700709,1.062412965
22.79039491,1.082651177
24.08299375,1.097989766
25.37610436,1.116506489
26.66759435,1.124959122
27.95942552,1.135530511
29.2417977,1.148056301
30.59715412,1.156269526
31.83528154,1.169495855
33.12866937,1.189734067
34.42079907,1.202159367
35.71452808,1.224516335
37.00544232,1.229393568
38.29776394,1.243010668
39.59076794,1.26086528
40.77652698,1.268231475
41.07824003,1.288560608
41.13931202,1.166172292
41.18544301,1.209866939
41.25815796,1.054479785
41.26331837,1.086525967
41.26847879,1.118572148
41.36746494,1.004939795
41.59919615,0.923698093
41.92181268,0.945822
43.29543463,0.960081282
44.58498413,0.956483491
45.87527997,0.957520479
47.17455501,0.953623565
48.45393259,0.947552859
49.62525944,0.938128831
